BEGIN PROFILING DUMP,,,,
Sorted by Exclusive Time,,,,
Name,Calls,Incl T(ms),Excl T(ms),Excl/calls
PAIR-EMPTY-LOC,628,82431.205,80124.24,127.586
ASSIGN-ORDER-TO-POD,146,67653.389,66337.024,454.363
REDUCE-QTY,605,67340.632,44495.695,73.547
COUNT-ORDER-CYCLE-TIME,605,22844.937,22844.937,37.76
CHECK-POD,3621,11414.933,11414.933,3.152
GENERATE-ORDER,146,10246.638,10246.638,70.182
PAIR-PICK-POD,35,9518.98,8827.874,252.225
UPDATE-ORDER,290,4347.612,4347.612,14.992
PAIR-NEXT,602,3540.216,3266.393,5.426
PLACE-ITEM,467,7.355,3108.47,6.656
ASSIGNING,603,2774.382,2619.653,4.344
COUNT-ROBOT-CYCLE-TIME,602,2337.56,2337.56,3.883
ASSIGNING-EMPTY,52,2339.897,2302.714,44.283
ENDING-INTERSECTION-RETURN,26558,2191.72,2191.72,0.083
NOT-COLLIDE,106020,83.563,1952.878,0.018
VIRTUAL-REPLENISH,67,1457.076,1457.076,21.747
SELECTED-PODS,146,1316.366,1316.366,9.016
DETECT-TRAFFIC,3621,683.365,664.957,0.184
PICK-POD,15051,1238.054,582.859,0.039
STARTING-INTERSECTION,4291,497.03,497.03,0.116
ENDING-INTERSECTION,4291,622.629,416.795,0.097
GO,3621,259267.783,380.47,0.105
BRING-BACK,18104,9415.637,258.033,0.014
IN-ONE-Y-BLOCK?,4291,197.162,197.162,0.046
FINISHED-ORDER,1,191.733,191.733,191.733
STARTING-INTERSECTION-RETURN,26558,152.428,152.428,0.006
QUEUING,73148,152950.352,127.524,0.002
UPDATE-QUEUE,3621,103.025,103.025,0.028
SWITCH-POD,602,0.902,87.857,0.146
BRING-TO-PICKING,20432,639.934,80.139,0.004
STAY,17335,152209.773,79.455,0.005
IN-ONE-BLOCK?,1591,64.728,64.728,0.041
SWITCH-EMPTY,635,64.094,64.094,0.101
SET-LAYOUT,1,4.85,60.423,60.423
ON-THE-WAY,23425,739.88,51.455,0.002
FREE-TO-MOVE?,106020,50.326,50.326,0
BLOCK-ROAD,602,45.14,45.14,0.075
CHECKING,3621,40.241,40.241,0.011
PLACE-AGV,1,9546.961,27.982,27.982
TURNING?,4380,47.641,27.904,0.006
REACHING-DESTINATION,5925,159.845,25.04,0.004
TOWARDS-TRAFFIC?,68418,19.529,19.529,0
GO-TO-AISLE,1591,138.698,17.77,0.011
CAN-TURN-LEFT?,13143,16.978,16.978,0.001
BRING-POD-OUT,1612,69,16.376,0.01
CAN-TURN-RIGHT?,11002,16.341,16.341,0.001
RIGHT-TURN?,3365,14.561,11.509,0.003
DECIDE-PICKING,623,9.177,9.177,0.015
CHANGE-YEND,1303,8.672,8.672,0.007
GOING-FURTHER?,5566,8.414,8.414,0.002
END-POINT?,20856,6.872,6.872,0
CORNER?,2049,5.314,5.314,0.003
TIME-COUNT,3621,5.231,5.231,0.001
RIGHT-WAY?,1183,5.167,4.308,0.004
PREVIOUSLY-MOVING?,458,4.231,4.231,0.009
RESOLVE,50,3.837,3.837,0.077
RESET-COUNT-DOWN,605,2.361,2.361,0.004
LEAD-TIME-COUNT-DOWN,383,1458.928,1.853,0.005
NEXT-INCOMING-ORDER,145,1.708,1.708,0.012
DELETE-FILE,1,1.25,1.25,1.25
SET-GLOBALS,1,1.176,1.176,1.176
REPLICATION-READ,1,0.555,0.555,0.555
,,,,
Sorted by Inclusive Time,,,,
GO,3621,259267.783,380.47,0.105
QUEUING,73148,152950.352,127.524,0.002
STAY,17335,152209.773,79.455,0.005
PAIR-EMPTY-LOC,628,82431.205,80124.24,127.586
ASSIGN-ORDER-TO-POD,146,67653.389,66337.024,454.363
REDUCE-QTY,605,67340.632,44495.695,73.547
COUNT-ORDER-CYCLE-TIME,605,22844.937,22844.937,37.76
CHECK-POD,3621,11414.933,11414.933,3.152
GENERATE-ORDER,146,10246.638,10246.638,70.182
PLACE-AGV,1,9546.961,27.982,27.982
PAIR-PICK-POD,35,9518.98,8827.874,252.225
BRING-BACK,18104,9415.637,258.033,0.014
UPDATE-ORDER,290,4347.612,4347.612,14.992
PAIR-NEXT,602,3540.216,3266.393,5.426
ASSIGNING,603,2774.382,2619.653,4.344
ASSIGNING-EMPTY,52,2339.897,2302.714,44.283
COUNT-ROBOT-CYCLE-TIME,602,2337.56,2337.56,3.883
ENDING-INTERSECTION-RETURN,26558,2191.72,2191.72,0.083
LEAD-TIME-COUNT-DOWN,383,1458.928,1.853,0.005
VIRTUAL-REPLENISH,67,1457.076,1457.076,21.747
SELECTED-PODS,146,1316.366,1316.366,9.016
PICK-POD,15051,1238.054,582.859,0.039
ON-THE-WAY,23425,739.88,51.455,0.002
DETECT-TRAFFIC,3621,683.365,664.957,0.184
BRING-TO-PICKING,20432,639.934,80.139,0.004
ENDING-INTERSECTION,4291,622.629,416.795,0.097
STARTING-INTERSECTION,4291,497.03,497.03,0.116
IN-ONE-Y-BLOCK?,4291,197.162,197.162,0.046
FINISHED-ORDER,1,191.733,191.733,191.733
REACHING-DESTINATION,5925,159.845,25.04,0.004
STARTING-INTERSECTION-RETURN,26558,152.428,152.428,0.006
GO-TO-AISLE,1591,138.698,17.77,0.011
UPDATE-QUEUE,3621,103.025,103.025,0.028
NOT-COLLIDE,106020,83.563,1952.878,0.018
BRING-POD-OUT,1612,69,16.376,0.01
IN-ONE-BLOCK?,1591,64.728,64.728,0.041
SWITCH-EMPTY,635,64.094,64.094,0.101
FREE-TO-MOVE?,106020,50.326,50.326,0
TURNING?,4380,47.641,27.904,0.006
BLOCK-ROAD,602,45.14,45.14,0.075
CHECKING,3621,40.241,40.241,0.011
TOWARDS-TRAFFIC?,68418,19.529,19.529,0
CAN-TURN-LEFT?,13143,16.978,16.978,0.001
CAN-TURN-RIGHT?,11002,16.341,16.341,0.001
RIGHT-TURN?,3365,14.561,11.509,0.003
DECIDE-PICKING,623,9.177,9.177,0.015
CHANGE-YEND,1303,8.672,8.672,0.007
GOING-FURTHER?,5566,8.414,8.414,0.002
PLACE-ITEM,467,7.355,3108.47,6.656
END-POINT?,20856,6.872,6.872,0
CORNER?,2049,5.314,5.314,0.003
TIME-COUNT,3621,5.231,5.231,0.001
RIGHT-WAY?,1183,5.167,4.308,0.004
SET-LAYOUT,1,4.85,60.423,60.423
PREVIOUSLY-MOVING?,458,4.231,4.231,0.009
RESOLVE,50,3.837,3.837,0.077
RESET-COUNT-DOWN,605,2.361,2.361,0.004
NEXT-INCOMING-ORDER,145,1.708,1.708,0.012
DELETE-FILE,1,1.25,1.25,1.25
SET-GLOBALS,1,1.176,1.176,1.176
SWITCH-POD,602,0.902,87.857,0.146
REPLICATION-READ,1,0.555,0.555,0.555
,,,,
Sorted by Number of Calls,,,,
NOT-COLLIDE,106020,83.563,1952.878,0.018
FREE-TO-MOVE?,106020,50.326,50.326,0
QUEUING,73148,152950.352,127.524,0.002
TOWARDS-TRAFFIC?,68418,19.529,19.529,0
ENDING-INTERSECTION-RETURN,26558,2191.72,2191.72,0.083
STARTING-INTERSECTION-RETURN,26558,152.428,152.428,0.006
ON-THE-WAY,23425,739.88,51.455,0.002
END-POINT?,20856,6.872,6.872,0
BRING-TO-PICKING,20432,639.934,80.139,0.004
BRING-BACK,18104,9415.637,258.033,0.014
STAY,17335,152209.773,79.455,0.005
PICK-POD,15051,1238.054,582.859,0.039
CAN-TURN-LEFT?,13143,16.978,16.978,0.001
CAN-TURN-RIGHT?,11002,16.341,16.341,0.001
REACHING-DESTINATION,5925,159.845,25.04,0.004
GOING-FURTHER?,5566,8.414,8.414,0.002
TURNING?,4380,47.641,27.904,0.006
ENDING-INTERSECTION,4291,622.629,416.795,0.097
STARTING-INTERSECTION,4291,497.03,497.03,0.116
IN-ONE-Y-BLOCK?,4291,197.162,197.162,0.046
GO,3621,259267.783,380.47,0.105
CHECK-POD,3621,11414.933,11414.933,3.152
DETECT-TRAFFIC,3621,683.365,664.957,0.184
UPDATE-QUEUE,3621,103.025,103.025,0.028
CHECKING,3621,40.241,40.241,0.011
TIME-COUNT,3621,5.231,5.231,0.001
RIGHT-TURN?,3365,14.561,11.509,0.003
CORNER?,2049,5.314,5.314,0.003
BRING-POD-OUT,1612,69,16.376,0.01
GO-TO-AISLE,1591,138.698,17.77,0.011
IN-ONE-BLOCK?,1591,64.728,64.728,0.041
CHANGE-YEND,1303,8.672,8.672,0.007
RIGHT-WAY?,1183,5.167,4.308,0.004
SWITCH-EMPTY,635,64.094,64.094,0.101
PAIR-EMPTY-LOC,628,82431.205,80124.24,127.586
DECIDE-PICKING,623,9.177,9.177,0.015
REDUCE-QTY,605,67340.632,44495.695,73.547
COUNT-ORDER-CYCLE-TIME,605,22844.937,22844.937,37.76
RESET-COUNT-DOWN,605,2.361,2.361,0.004
ASSIGNING,603,2774.382,2619.653,4.344
PAIR-NEXT,602,3540.216,3266.393,5.426
COUNT-ROBOT-CYCLE-TIME,602,2337.56,2337.56,3.883
BLOCK-ROAD,602,45.14,45.14,0.075
SWITCH-POD,602,0.902,87.857,0.146
PLACE-ITEM,467,7.355,3108.47,6.656
PREVIOUSLY-MOVING?,458,4.231,4.231,0.009
LEAD-TIME-COUNT-DOWN,383,1458.928,1.853,0.005
UPDATE-ORDER,290,4347.612,4347.612,14.992
ASSIGN-ORDER-TO-POD,146,67653.389,66337.024,454.363
GENERATE-ORDER,146,10246.638,10246.638,70.182
SELECTED-PODS,146,1316.366,1316.366,9.016
NEXT-INCOMING-ORDER,145,1.708,1.708,0.012
VIRTUAL-REPLENISH,67,1457.076,1457.076,21.747
ASSIGNING-EMPTY,52,2339.897,2302.714,44.283
RESOLVE,50,3.837,3.837,0.077
PAIR-PICK-POD,35,9518.98,8827.874,252.225
PLACE-AGV,1,9546.961,27.982,27.982
FINISHED-ORDER,1,191.733,191.733,191.733
SET-LAYOUT,1,4.85,60.423,60.423
DELETE-FILE,1,1.25,1.25,1.25
SET-GLOBALS,1,1.176,1.176,1.176
REPLICATION-READ,1,0.555,0.555,0.555
END PROFILING DUMP,,,,
